,Mean,Max,Min
766,34.0,40.0,32.0
767,33.75,39.0,32.0
768,33.5,38.0,32.0
769,33.25,37.0,32.0
770,33.25,37.0,32.0
771,34.5,39.0,32.0
772,35.75,41.0,34.0
773,37.5,43.0,35.0
774,38.0,44.0,36.0
775,38.75,44.0,37.0
776,39.75,45.0,37.0
777,40.5,45.0,39.0
778,41.25,46.0,37.0
779,42.25,47.0,40.0
780,42.75,47.0,40.0
781,43.5,47.0,41.0
782,42.25,47.0,39.0
783,40.75,45.0,39.0
784,39.25,45.0,37.0
785,39.75,47.0,37.0
786,39.75,47.0,37.0
787,38.25,44.0,36.0
788,37.75,43.0,36.0
789,37.0,40.0,36.0
790,37.0,40.0,36.0
791,37.0,40.0,36.0
792,36.5,39.0,35.0
793,36.75,40.0,35.0
794,36.0,39.0,34.0
795,36.75,40.0,35.0
796,37.75,43.0,36.0
797,38.5,46.0,36.0
798,39.25,48.0,36.0
799,39.75,49.0,36.0
800,41.25,51.0,37.0
801,41.75,53.0,37.0
802,42.75,55.0,38.0
803,43.75,55.0,39.0
804,45.25,56.0,41.0
805,46.25,59.0,41.0
806,46.0,59.0,41.0
807,45.75,59.0,41.0
808,46.0,60.0,41.0
809,45.75,59.0,41.0
810,45.0,57.0,41.0
811,42.5,52.0,39.0
812,40.5,49.0,37.0
813,39.5,48.0,36.0
814,38.75,46.0,36.0
815,38.5,45.0,36.0
816,37.75,43.0,36.0
817,37.75,43.0,36.0
818,37.5,41.0,36.0
819,37.75,43.0,36.0
820,38.75,44.0,37.0
821,39.25,46.0,37.0
822,39.75,48.0,37.0
823,40.25,50.0,36.0
824,40.25,51.0,36.0
825,40.75,52.0,37.0
826,42.25,53.0,38.0
827,44.0,54.0,40.0
828,44.75,55.0,41.0
829,46.0,56.0,42.0
830,45.75,57.0,41.0
831,46.5,59.0,41.0
832,46.0,58.0,41.0
833,44.0,52.0,41.0
834,42.0,49.0,39.0
835,41.75,49.0,39.0
836,41.25,49.0,37.0
837,40.0,49.0,36.0
838,39.25,49.0,36.0
839,39.5,50.0,36.0
840,39.0,49.0,35.0
841,39.5,50.0,36.0
842,39.25,49.0,36.0
843,40.5,51.0,37.0
844,41.0,50.0,37.0
845,41.5,51.0,37.0
846,42.25,52.0,39.0
847,44.5,51.0,41.0
848,45.5,51.0,43.0
849,46.25,51.0,44.0
850,48.25,51.0,46.0
851,50.0,54.0,48.0
852,51.0,53.0,50.0
853,52.5,54.0,52.0
854,52.25,54.0,51.0
855,52.25,54.0,50.0
856,51.75,53.0,50.0
857,50.75,52.0,49.0
858,50.0,50.0,50.0
859,48.75,50.0,48.0
860,47.0,50.0,46.0
861,46.75,50.0,45.0
862,46.75,49.0,46.0
863,46.0,48.0,45.0
864,44.0,47.0,43.0
865,44.25,47.0,42.0
866,45.5,48.0,43.0
867,47.25,49.0,46.0
868,48.75,51.0,48.0
869,50.25,54.0,48.0
870,50.25,56.0,48.0
871,50.75,59.0,48.0
872,52.5,61.0,49.0
873,53.0,62.0,50.0
874,53.5,64.0,50.0
875,54.25,65.0,50.0
876,54.0,66.0,50.0
877,54.25,67.0,50.0
878,55.0,67.0,50.0
879,56.5,67.0,52.0
880,56.5,65.0,53.0
881,56.5,64.0,54.0
882,56.0,62.0,54.0
883,54.25,60.0,52.0
884,51.5,57.0,48.0
885,49.5,55.0,46.0
886,48.5,54.0,45.0
887,47.5,51.0,46.0
888,47.5,51.0,46.0
889,47.0,49.0,46.0
890,48.5,50.0,48.0
891,51.25,54.0,49.0
892,54.0,58.0,52.0
893,56.25,60.0,55.0
894,58.75,62.0,57.0
895,61.25,63.0,59.0
896,63.25,65.0,62.0
897,64.25,65.0,64.0
898,65.25,66.0,64.0
899,67.5,68.0,67.0
900,67.75,68.0,67.0
901,68.25,69.0,68.0
902,69.25,70.0,68.0
903,69.25,70.0,68.0
904,69.25,70.0,68.0
905,68.75,70.0,66.0
906,67.5,69.0,65.0
907,65.25,67.0,64.0
908,63.25,65.0,61.0
909,61.5,63.0,60.0
910,58.0,59.0,56.0
911,55.75,57.0,55.0
912,55.25,57.0,54.0
913,55.0,56.0,54.0
914,56.0,57.0,55.0
915,57.5,59.0,56.0
916,59.5,61.0,55.0
917,61.5,64.0,55.0
918,62.75,66.0,53.0
919,64.25,70.0,52.0
920,64.25,68.0,53.0
921,66.0,70.0,55.0
922,66.25,70.0,55.0
923,67.5,72.0,55.0
924,68.25,73.0,56.0
925,69.0,73.0,57.0
926,69.0,73.0,57.0
927,67.75,73.0,53.0
928,67.0,72.0,52.0
929,67.25,72.0,53.0
930,66.0,71.0,53.0
931,63.5,68.0,52.0
932,61.0,65.0,52.0
933,59.75,63.0,52.0
934,57.5,60.0,52.0
935,56.5,59.0,52.0
936,55.0,57.0,52.0
937,54.25,55.0,52.0
938,55.0,57.0,52.0
939,56.25,59.0,52.0
940,57.75,61.0,52.0
941,60.5,64.0,53.0
942,62.75,68.0,54.0
943,64.75,68.0,55.0
944,66.0,70.0,58.0
945,67.75,72.0,59.0
946,69.5,72.0,62.0
947,69.75,73.0,62.0
948,70.25,73.0,63.0
949,70.75,73.0,64.0
950,71.25,74.0,65.0
951,71.0,73.0,65.0
952,70.75,73.0,64.0
953,68.5,73.0,61.0
954,64.25,69.0,58.0
955,62.75,67.0,57.0
956,60.75,64.0,55.0
957,58.0,62.0,54.0
958,56.75,60.0,53.0
959,55.5,58.0,52.0
960,55.0,58.0,52.0
961,54.75,58.0,51.0
962,55.0,57.0,51.0
963,56.5,59.0,53.0
964,59.25,61.0,56.0
965,62.5,64.0,61.0
966,64.0,64.0,64.0
967,66.0,66.0,66.0
968,66.25,68.0,65.0
969,67.5,68.0,67.0
970,67.75,68.0,67.0
971,68.5,70.0,68.0
972,68.75,70.0,67.0
973,67.5,70.0,64.0
974,68.0,69.0,67.0
975,68.25,70.0,67.0
976,66.75,68.0,65.0
977,65.0,66.0,64.0
978,63.5,65.0,62.0
979,62.5,64.0,61.0
980,59.25,61.0,57.0
981,56.5,59.0,54.0
982,54.75,58.0,52.0
983,53.0,57.0,50.0
984,52.5,58.0,50.0
985,52.0,57.0,50.0
986,51.75,57.0,50.0
987,52.75,57.0,50.0
988,54.5,62.0,52.0
989,56.0,64.0,52.0
990,57.75,66.0,55.0
991,58.0,67.0,54.0
992,57.75,68.0,54.0
993,58.75,71.0,54.0
994,59.0,68.0,55.0
995,59.5,68.0,56.0
996,58.25,68.0,54.0
997,57.75,67.0,54.0
998,56.5,63.0,54.0
999,55.5,60.0,54.0
1000,56.0,63.0,53.0
1001,56.0,62.0,54.0
1002,54.25,60.0,52.0
1003,53.0,61.0,50.0
1004,50.75,58.0,48.0
1005,49.25,57.0,46.0
1006,48.0,55.0,45.0
1007,47.5,55.0,45.0
1008,47.75,55.0,45.0
1009,47.25,55.0,44.0
1010,47.25,55.0,44.0
1011,47.0,55.0,43.0
1012,47.25,54.0,44.0
1013,48.75,54.0,46.0
1014,51.25,54.0,49.0
1015,53.0,54.0,52.0
1016,54.25,55.0,54.0
1017,56.25,57.0,54.0
1018,57.25,59.0,55.0
1019,58.0,59.0,55.0
1020,59.25,61.0,55.0
1021,59.75,63.0,55.0
1022,61.0,63.0,56.0
1023,60.75,63.0,55.0
1024,59.25,62.0,53.0
1025,59.25,61.0,54.0
1026,58.75,61.0,55.0
1027,57.75,59.0,56.0
1028,56.0,58.0,54.0
1029,54.0,55.0,52.0
1030,51.25,55.0,48.0
1031,49.0,53.0,46.0
1032,48.5,53.0,46.0
1033,48.75,53.0,46.0
1034,49.25,53.0,48.0
1035,50.25,54.0,48.0
1036,51.0,54.0,50.0
1037,52.0,55.0,50.0
1038,53.0,56.0,52.0
1039,53.25,57.0,52.0
1040,54.5,58.0,52.0
1041,56.25,61.0,54.0
1042,56.5,61.0,55.0
1043,57.5,64.0,55.0
1044,56.75,58.0,55.0
1045,57.0,57.0,57.0
1046,57.0,57.0,57.0
1047,56.5,58.0,54.0
1048,56.0,57.0,53.0
1049,56.0,58.0,52.0
1050,54.75,57.0,52.0
1051,54.0,56.0,52.0
1052,51.0,53.0,48.0
1053,48.25,51.0,46.0
1054,47.25,49.0,46.0
1055,46.5,48.0,46.0
1056,45.75,47.0,45.0
1057,44.75,45.0,44.0
1058,45.5,46.0,45.0
1059,46.5,50.0,45.0
1060,48.25,53.0,46.0
1061,51.25,56.0,49.0
1062,53.25,58.0,51.0
1063,55.5,61.0,53.0
1064,56.75,62.0,54.0
1065,58.0,63.0,55.0
1066,60.75,64.0,59.0
1067,61.0,64.0,59.0
1068,62.25,64.0,61.0
1069,64.0,65.0,63.0
1070,63.75,66.0,63.0
1071,64.75,68.0,63.0
1072,64.5,66.0,64.0
1073,64.25,66.0,63.0
1074,63.5,64.0,63.0
1075,61.0,62.0,59.0
1076,57.25,59.0,55.0
1077,55.25,56.0,55.0
1078,53.5,54.0,53.0
1079,52.75,54.0,50.0
1080,51.5,53.0,49.0
1081,49.5,50.0,48.0
1082,51.0,54.0,48.0
1083,54.25,57.0,51.0
1084,56.666666666666664,57.0,56.0
1085,60.666666666666664,62.0,59.0
1086,63.75,66.0,62.0
1087,64.75,67.0,64.0
1088,65.0,66.0,63.0
1089,65.75,68.0,60.0
1090,66.5,68.0,63.0
1091,66.75,68.0,63.0
1092,66.75,69.0,64.0
1093,66.75,68.0,64.0
1094,67.25,68.0,66.0
1095,66.5,67.0,66.0
1096,65.0,66.0,64.0
1097,64.0,65.0,63.0
1098,62.0,64.0,60.0
1099,60.0,62.0,58.0
1100,57.5,60.0,56.0
1101,56.5,58.0,55.0
1102,54.0,56.0,52.0
1103,53.0,56.0,50.0
1104,51.25,54.0,50.0
1105,51.25,54.0,50.0
1106,52.5,54.0,52.0
1107,53.25,57.0,52.0
1108,55.25,62.0,52.0
1109,59.0,67.0,55.0
1110,62.75,67.0,60.0
1111,64.75,68.0,63.0
1112,66.75,70.0,64.0
1113,67.5,71.0,66.0
1114,68.5,72.0,66.0
1115,70.0,72.0,68.0
1116,70.0,73.0,68.0
1117,70.0,71.0,69.0
1118,70.0,71.0,69.0
1119,70.0,70.0,70.0
1120,69.5,70.0,68.0
1121,69.25,70.0,68.0
1122,68.25,70.0,66.0
1123,65.0,67.0,63.0
1124,62.5,64.0,61.0
1125,60.25,62.0,59.0
1126,59.0,60.0,57.0
1127,57.5,59.0,55.0
1128,56.5,58.0,55.0
1129,55.75,57.0,54.0
1130,55.5,58.0,54.0
1131,56.5,60.0,55.0
1132,58.0,64.0,55.0
1133,60.0,67.0,57.0
1134,62.0,70.0,58.0
1135,63.75,72.0,61.0
1136,65.0,74.0,61.0
1137,65.25,71.0,63.0
1138,65.5,68.0,64.0
1139,66.0,71.0,64.0
1140,66.5,75.0,63.0
1141,67.25,74.0,64.0
1142,67.75,72.0,66.0
1143,67.75,71.0,66.0
1144,67.25,72.0,64.0
1145,65.5,69.0,64.0
1146,64.25,67.0,61.0
1147,61.25,67.0,57.0
1148,59.666666666666664,66.0,55.0
1149,57.25,64.0,54.0
1150,56.25,62.0,54.0
1151,55.75,60.0,54.0
1152,55.25,59.0,54.0
1153,55.0,58.0,54.0
1154,55.0,58.0,54.0
1155,56.25,60.0,55.0
1156,56.5,61.0,55.0
1157,56.75,61.0,55.0
1158,56.75,62.0,55.0
1159,57.75,63.0,55.0
1160,58.5,63.0,55.0
1161,56.25,62.0,54.0
1162,56.75,64.0,54.0
1163,58.75,65.0,56.0
1164,60.0,66.0,57.0
1165,59.0,65.0,57.0
1166,58.5,62.0,57.0
1167,57.5,62.0,55.0
1168,57.0,63.0,54.0
1169,57.25,66.0,54.0
1170,57.0,66.0,54.0
1171,55.5,65.0,52.0
1172,54.75,63.0,52.0
1173,54.75,63.0,52.0
1174,52.75,60.0,50.0
1175,51.75,61.0,48.0
1176,51.75,60.0,48.0
1177,51.0,59.0,48.0
1178,51.5,59.0,48.0
1179,52.5,59.0,50.0
1180,53.5,61.0,50.0
1181,55.5,64.0,52.0
1182,55.75,64.0,52.0
1183,57.25,65.0,54.0
1184,57.25,63.0,55.0
1185,57.5,64.0,55.0
1186,59.5,68.0,55.0
1187,60.75,70.0,57.0
1188,62.5,72.0,59.0
1189,62.75,72.0,57.0
1190,61.75,71.0,57.0
1191,61.75,72.0,57.0
1192,60.75,69.0,57.0
1193,59.75,67.0,57.0
1194,58.5,64.0,55.0
1195,57.0,62.0,54.0
1196,55.25,60.0,52.0
1197,53.25,58.0,50.0
1198,53.0,58.0,50.0
1199,51.5,56.0,50.0
1200,51.25,56.0,48.0
1201,48.5,55.0,45.0
1202,48.75,55.0,46.0
1203,49.25,53.0,48.0
1204,51.25,54.0,49.0
1205,52.5,54.0,52.0
1206,53.5,54.0,52.0
1207,54.5,56.0,52.0
1208,55.75,57.0,52.0
1209,57.75,61.0,54.0
1210,58.25,60.0,57.0
1211,60.75,63.0,59.0
1212,60.0,63.0,59.0
1213,56.0,62.0,52.0
1214,55.0,57.0,52.0
1215,55.75,57.0,55.0
1216,54.75,55.0,54.0
1217,53.75,55.0,52.0
1218,51.25,55.0,48.0
1219,48.5,54.0,45.0
1220,46.0,53.0,43.0
1221,44.25,51.0,41.0
1222,42.75,51.0,39.0
1223,41.0,50.0,37.0
1224,40.5,49.0,37.0
1225,40.0,49.0,36.0
1226,39.75,49.0,36.0
1227,40.25,49.0,37.0
1228,41.5,51.0,37.0
1229,41.75,53.0,37.0
1230,44.0,56.0,39.0
1231,44.75,56.0,39.0
1232,45.25,56.0,39.0
1233,46.25,59.0,41.0
1234,47.25,60.0,43.0
1235,46.75,59.0,41.0
1236,49.0,63.0,43.0
1237,45.25,50.0,43.0
1238,44.75,50.0,43.0
1239,45.0,52.0,41.0
1240,44.25,53.0,41.0
1241,44.25,57.0,39.0
1242,43.25,55.0,39.0
1243,43.0,54.0,39.0
1244,42.5,52.0,39.0
1245,41.5,51.0,37.0
1246,40.75,51.0,37.0
1247,40.25,49.0,37.0
1248,40.0,48.0,37.0
1249,40.0,48.0,37.0
1250,39.75,48.0,36.0
1251,40.0,50.0,36.0
1252,40.5,51.0,37.0
1253,42.25,55.0,37.0
1254,43.25,56.0,39.0
1255,45.0,58.0,40.0
1256,47.25,60.0,43.0
1257,47.5,60.0,43.0
1258,46.0,54.0,43.0
1259,49.5,63.0,45.0
1260,48.0,56.0,45.0
1261,48.25,55.0,46.0
1262,49.0,58.0,46.0
1263,48.75,59.0,45.0
1264,47.5,54.0,45.0
1265,47.25,55.0,44.0
1266,46.5,55.0,43.0
1267,45.5,52.0,43.0
1268,45.0,51.0,43.0
1269,44.0,48.0,42.0
1270,42.75,47.0,41.0
1271,42.75,47.0,41.0
1272,42.25,46.0,41.0
1273,41.75,44.0,41.0
1274,42.0,45.0,41.0
1275,42.5,46.0,41.0
1276,43.75,47.0,42.0
1277,44.75,51.0,42.0
1278,44.5,50.0,42.0
1279,46.0,51.0,43.0
1280,46.75,51.0,45.0
1281,47.5,52.0,46.0
1282,49.25,55.0,46.0
1283,50.25,56.0,48.0
1284,50.75,56.0,48.0
1285,51.0,55.0,49.0
1286,51.75,57.0,50.0
1287,51.75,55.0,50.0
1288,51.75,55.0,50.0
1289,51.0,54.0,50.0
1290,50.0,54.0,48.0
1291,48.5,54.0,46.0
1292,47.5,54.0,45.0
1293,46.25,53.0,43.0
1294,44.75,50.0,43.0
1295,44.5,50.0,42.0
1296,44.25,49.0,42.0
1297,43.25,49.0,41.0
1298,43.5,49.0,41.0
1299,43.5,51.0,41.0
1300,45.75,55.0,42.0
1301,46.25,56.0,43.0
1302,47.75,57.0,44.0
1303,49.0,58.0,45.0
1304,52.0,59.0,49.0
1305,54.5,60.0,52.0
1306,55.5,61.0,53.0
1307,55.5,59.0,54.0
1308,56.75,62.0,55.0
1309,56.75,60.0,55.0
1310,56.25,57.0,55.0
1311,56.25,57.0,55.0
1312,55.0,55.0,55.0
1313,54.5,55.0,54.0
1314,54.25,55.0,54.0
1315,52.5,54.0,52.0
1316,51.0,52.0,50.0
1317,50.25,51.0,50.0
1318,49.25,52.0,48.0
1319,48.5,53.0,46.0
1320,47.75,53.0,46.0
1321,48.0,54.0,46.0
1322,48.5,55.0,46.0
1323,50.0,55.0,47.0
1324,52.25,54.0,51.0
1325,54.75,56.0,54.0
1326,57.25,59.0,56.0
1327,57.75,59.0,57.0
1328,58.75,61.0,57.0
1329,59.75,61.0,59.0
1330,58.5,60.0,57.0
1331,56.0,61.0,52.0
1332,55.5,62.0,50.0
1333,53.0,60.0,50.0
1334,54.0,61.0,51.0
1335,53.75,59.0,52.0
1336,53.5,58.0,52.0
1337,53.25,58.0,51.0
1338,52.75,56.0,51.0
1339,51.75,56.0,50.0
1340,51.0,55.0,49.0
1341,50.5,55.0,48.0
1342,50.0,55.0,48.0
1343,49.75,54.0,48.0
1344,49.75,54.0,48.0
1345,49.5,53.0,48.0
1346,49.5,53.0,48.0
1347,50.25,54.0,48.0
1348,50.75,54.0,49.0
1349,51.25,56.0,49.0
1350,52.75,58.0,50.0
1351,53.5,59.0,51.0
1352,52.25,58.0,48.0
1353,52.0,59.0,49.0
1354,52.0,58.0,50.0
1355,53.5,59.0,51.0
1356,55.25,60.0,53.0
1357,55.0,58.0,54.0
1358,56.5,59.0,55.0
1359,54.75,57.0,52.0
1360,52.0,52.0,52.0
1361,52.0,52.0,52.0
1362,50.25,54.0,48.0
1363,49.5,53.0,48.0
1364,50.0,53.0,48.0
1365,49.5,53.0,48.0
1366,49.5,53.0,48.0
1367,49.5,53.0,48.0
1368,50.25,54.0,48.0
1369,51.25,55.0,50.0
1370,53.25,57.0,52.0
1371,53.25,56.0,52.0
1372,52.75,56.0,51.0
1373,53.5,58.0,52.0
1374,52.25,58.0,50.0
1375,54.25,60.0,51.0
1376,55.25,60.0,53.0
1377,56.75,60.0,55.0
1378,57.5,62.0,55.0
1379,56.5,59.0,55.0
1380,56.75,60.0,55.0
1381,56.0,59.0,54.0
1382,55.75,60.0,54.0
1383,54.5,58.0,52.0
1384,53.5,57.0,52.0
1385,53.25,56.0,52.0
1386,51.25,54.0,50.0
1387,50.25,53.0,48.0
1388,49.25,52.0,48.0
1389,48.25,51.0,46.0
1390,47.25,50.0,46.0
1391,47.5,51.0,46.0
1392,48.0,53.0,46.0
1393,49.0,55.0,46.0
1394,50.5,58.0,48.0
1395,51.25,60.0,48.0
1396,52.25,62.0,48.0
1397,53.5,64.0,50.0
1398,55.25,65.0,52.0
1399,56.0,65.0,52.0
1400,58.0,67.0,55.0
1401,58.5,66.0,55.0
1402,59.5,67.0,57.0
1403,60.25,66.0,57.0
1404,59.75,67.0,57.0
1405,59.5,66.0,57.0
1406,57.75,63.0,55.0
1407,54.75,60.0,52.0
1408,53.0,58.0,50.0
1409,51.75,56.0,50.0
1410,51.0,54.0,50.0
1411,50.75,53.0,50.0
1412,50.0,50.0,50.0
1413,49.75,50.0,49.0
1414,49.25,50.0,47.0
1415,49.5,50.0,48.0
1416,51.25,53.0,50.0
1417,53.5,58.0,52.0
1418,54.0,59.0,52.0
1419,55.0,61.0,52.0
1420,56.25,63.0,54.0
1421,57.25,64.0,55.0
1422,57.5,65.0,55.0
1423,58.25,67.0,55.0
1424,59.75,67.0,56.0
1425,62.5,68.0,60.0
1426,64.0,68.0,62.0
1427,64.5,66.0,64.0
1428,64.5,67.0,63.0
1429,63.25,67.0,59.0
1430,60.75,66.0,59.0
1431,59.25,65.0,57.0
1432,58.5,64.0,55.0
1433,57.0,63.0,55.0
1434,56.5,63.0,54.0
1435,55.75,62.0,53.0
1436,54.25,61.0,52.0
1437,53.5,60.0,50.0
1438,52.75,58.0,50.0
1439,53.75,58.0,52.0
1440,55.5,58.0,53.0
1441,59.0,59.0,59.0
1442,60.0,60.0,60.0
1443,62.0,63.0,61.0
1444,62.333333333333336,63.0,61.0
1445,64.0,64.0,64.0
1446,66.0,66.0,66.0
1447,66.0,66.0,66.0
1448,67.66666666666667,68.0,67.0
1449,67.75,69.0,66.0
1450,68.75,70.0,67.0
1451,69.0,70.0,66.0
1452,69.0,70.0,66.0
1453,68.75,70.0,65.0
1454,67.75,70.0,65.0
1455,65.5,67.0,64.0
1456,63.5,65.0,63.0
1457,61.0,61.0,61.0
1458,60.25,63.0,59.0
1459,58.5,62.0,57.0
1460,57.75,61.0,56.0
1461,57.25,59.0,56.0
1462,57.0,57.0,57.0
1463,57.25,58.0,57.0
1464,56.25,57.0,55.0
1465,57.0,59.0,56.0
1466,58.75,61.0,57.0
1467,60.5,63.0,57.0
1468,62.0,64.0,58.0
1469,63.75,66.0,58.0
1470,65.5,68.0,59.0
1471,66.25,70.0,57.0
1472,66.75,70.0,57.0
1473,65.75,70.0,56.0
1474,67.0,72.0,56.0
1475,67.0,71.0,57.0
1476,66.75,71.0,56.0
1477,67.0,70.0,58.0
1478,65.5,69.0,57.0
1479,63.75,67.0,56.0
1480,62.0,65.0,56.0
1481,59.75,62.0,57.0
1482,58.25,59.0,57.0
1483,56.75,58.0,55.0
1484,55.5,59.0,54.0
1485,54.75,59.0,52.0
1486,55.0,59.0,53.0
1487,55.25,59.0,54.0
1488,56.0,59.0,55.0
1489,58.0,59.0,57.0
1490,60.25,61.0,59.0
1491,62.5,64.0,59.0
1492,64.75,68.0,60.0
1493,66.5,68.0,62.0
1494,67.25,70.0,63.0
1495,68.75,72.0,64.0
1496,69.5,72.0,65.0
1497,69.75,72.0,65.0
1498,69.75,72.0,66.0
1499,68.75,71.0,66.0
1500,68.75,70.0,65.0
1501,68.25,70.0,65.0
